, tell
overpower, you
overpowered, in
overshadowed, Charybdis
overtake, her
overtook, us
overweening, suitors
overwhelm, me
overwhelmed, by
overwhelming, proof
overwhelms, you
overyou, youve
owe, the
owed, the
owls, and
own, You
ownerssuffering, all
ox, of
oxen, Or
oxenbroad, in
oxhide, leggings
oxhoof, hit
oxhorn, lure
pace, as
pacify, the
pack, at
packed, earth
packing, from
packs, not
pact, If
pacts, of
padded, from
padding, along
page, to
paid, in
pails, My
pain, the
pained, as
painful, arrows
painless, death
pains, he
painsthe, gods
painted, wagon
pair, of
paired, for
palace, And
palaceHermes, god
palaceIll, hide
pale, he
palings, split
palisades, of
pall, on
palms, and
palmtree, springing
paltry, house
pamper, for
pandemonium, Now
pangs, of
panic, boarded
panicked, forces
panther, a
par, with
parade, our
paraded, in
paralyzed, with
parasite, on
parasites, against
parceling, out
parched, he
parents, Where
parentswho, else
parsley, Why
part, of
parted, us
parting, Dear
partner, in
parts, I
partsbeen, as
party, went
pass, And
passage, cramped
passed, since
passenger, aboard
passerby, on
passing, along
passion, we
past, the
pasture, So
pastured, his
pastures, near
pasturing, fleecy
patched, too
pate, not
path, to
paths, and
paththe, suns
pathway, down
pathways, of
patience, would
patient, man
patrimony, gather
patrol, to
patrolling, to
patted, him
patting, it
paupers, without
pause, in
paused, and
pausing, Royal
paved, in
pawing, up
paws, slashing
pay, the
paying, those
payment, One
pays, you
peace, between
peaceor, go
peak, strength
peakTaygetus, towering
peaks, By
peal, of
peals, of
pear, ten
pearl, of
pears, and
peartree, paused
pebbles, stuck
pebbly, scree
peck, their
pecking, at
peddles, lies
peddling, lies
pedestals, standing
peeled, for
peered, around
peers, inside
peg, with
pegs, and
pelt, you
pelting, shafts
penned, up
penning, sows
pens, and
pensive, Telemachus
people, Those
peoples, voice
peopleseated, him
peoplethanks, to
per, man
perch, on
perched, in
perfect, beauties
perfection, its
perform, in
performed, among
perhaps, there
perhapsthe, man
peril, hed
perish, once
perked, up
permit, it
pernicious, crowd
persists, in
person, quick
personal, nothing
persuade, me
persuading, himself
pest, slinking
phantom, dragging
pick, them
picked, men
pickers, gather
picking, our
picks, the
picnic, sitting
piece, of
pieces, skewered
pierce, it
pierced, his
piercing, voice
piercingI, may
pig, runs
pigboy, where
pigs, And
pigsties, all
pile, no
piled, it
piles, there
piling, up
pillar, leaning
pillars, of
pilot, at
pilots, seat
pin, the
pinch, of
pine, for
pines, away
pinewood, rafters
pinions, straining
pinned, down
pinning, the
pins, on
pipes, and
pique, against
pirates, bound
pit, them
pitch, in
pitchblack, 
pitched, the
pitcher, and
pitching, out
pith, no
pitied, you
pities, you
pitiful, death
pitifully, as
pittance, a
pity, the
place, my
placed, it
placing, his
plague, this
plagued, his
plain, as
plains, in
plan, your
plane, it
planed, smooth
planing, it
plank, and
plankings, from
planks, of
planned, our
planning, such
plans, Once
plant, no
planted, firm
planting, the
plants, are
planwinning, Eupithes
plate, of
plated, in
plateful, Look
plates, Isnt
platoons, I
platters, of
play, the
played, host
playing, the
plays, the
plea, Eurylochus
plead, commanding
pleaded, begging
pleadedgentle, humble
pleading, for
pleads, for
pleas, and
please, tell
pleased, them
pleasein, no
pleases, no
pleasure, They
pleasures, song
pledge, indeed
pledged, your
pledging, both
plenty, This
pliant, sheepgut
plied, his
plies, thick
plot, 
plots, His
plotted, in
plotting, outrage
plow, youd
plowed, the
plowing, Harvest
plowlands, rising
plows, through
plowshare, down
pluck, me
plucked, up
plucking, tufts
plumb, to
plume, of
plump, beasts
plunder, the
plundered, much
plunge, in
plunged, with
plunges, me
plunging, his
ply, the
plying, a
point, tearing
pointI, watch
pointed, winging
pointhe, thinks
points, You
pointtheres, sense
poise, replied
poised, for
poison, in
pole, I
polished, bow
pollution, bring
pomegranates, and
pondered, 
pool, as
pooling, blood
pools, they
poor, soul
poorest, soldier
poorly, Ill
poplar, thrived
poplars, willows
porch, he
porchs, shelter
pore, over
pork, hoping
porker, fix
porkers, the
port, so
portents, Flocks
portico, lay
portions, fell
portray, him
ports, of
pose, to
possess, now
possessed, by
possessions, cattle
possibly, cut
post, of
posted, beside
postplay, the
posts, he
potbellied, pig
potent, drug
potion, never
potioncheese, barley
potluck, supper
pots, at
pound, the
pounding, Irus
pour, out
poured, it
pouring, his
pours, the
poverty, stoops
power, up
powerful, weapon
powerless, Cannot
powers, to
practice, outrage
praise, of
praised, the
praises, Come
pray, and
prayed, in
prayer, to
prayers, Wed
prayersand, later
praying, head
prays, to
precinct, built
precincts, still
precious, toddler
precise, though
predict, set
prefers, 
prelude, now
prepare, a
prepared, their
preparing, for
presence, sleep
present, at
presented, the
presents, in
preside, in
press, her
pressed, him
pressing, around
pretending, Id
prey, and
preyeagles, vultures
price, So
priceall, at
priceless, trophies
pricked, up
pride, of
priest, a
prime, no
prince, Amphimedon
princely, entertainment
princes, Quick
princess, in
princesuddenly, banking
prise, it
private, feasts
privates, out
prize, but
prized, him
prizes, With
probably, knew
probe, me
probed, them
probing, the
prodded, Captain
prodding, in
produced, a
profit, either
profiteers, roving
profitturning, theres
prolong, the
promise, you
promised, to
promises, dropping
prompt, you
prompting, of
promptly, began
pronounce, that
proof, and
proofI, must
proofbut, Odysseus
proper, way
properly, see
property, all
prophecies, of
prophecy, quite
prophecyI, can
prophesied, to
prophet, said
prophets, sane
proposal, pleased
propose, These
proposed, and
propped, them
propping, his
protest, Passage
protested, what
protesting, No
proud, so
proudest, thing
prove, themselves
proved, no
proves, congenial
provide, And
provided, a
providing, light
provisions, too
provoke, him
prow, on
prowess, weve
prowl, learning
prows, and
pry, and
prying, not
public, fame
puff, could
pull, fresh
pulled, away
pulling, into
pullingpower, that
pulls, you
pulp, and
pulsing, sharper
punching, out
pungent, cypress
punish, the
punished, for
punishes, all
punishing, blast
punishment, you
punishments, too
puny, crowd
pup, but
puppies, growls
puppy, once
pups, their
purchased, for
pure, gold
purebred, sheep
purebreds, hulking
purge, their
purged, his
purify, this
purifying, the
purple, coverlets
pursue, the
pursued, keen
pursuit, burning
push, on
pushed, out
pushing, back
put, a
puts, doing
putting, their
puzzled, too
puzzling, his
pyre, men
quake, in
quaked, and
quakes, with
quaking, now
qualm, then
quarrel, might
quarrels, even
quarried, blocks
quarry, he
quarter, as
quartered, it
quarters, all
queen, at
queenly, mother
queens, secret
quest, of
questing, for
question, 
questioned, Tiresias
questioning, myself
questions, look
questionsall, at
questionswell, listen
quick, to
quickchange, artist
quicken, overwhelmed
quickest, thing
quickly, won
quickness, you
quickstabbed, the
quickyou, rouse
quiet, The
quietly, bounded
quit, their
quite, dead
quiver, look
race, the
raced, with
racehorse, stripped
racer, He
racers, legs
racing, ship
rack, my
racked, with
racks, to
radiance, round
radiant, woman
raft, as
rafter, called
rafters, high
rag, for
rage, of
raged, dead
rages, on
ragged, beggars
raging, dropped
rags, Surely
raid, and
raider, of
raiders, had
raiding, foreign
raids, the
rain, blessings
rained, from
rains, never
raise, a
raised, a
raises, crops
raising, himself
raisins, in
rake, the
raked, the
raking, up
rallied, all
rally, troops
rallying, round
ram, a
ramas, we
rambling, over
rammed, it
rampaging, through
ramparts, crowding
ramping, wild
rams, went
ran, to
random, meeting
rang, out
range, of
ranged, before
ranging, ahead
rank, crimes
ranks, before
rant, Bold
rapid, ships
rapidfire, questions
rapping, them
rapt, bard
rapturous, song
rare, Tell
rarely, visit
rascal, clamped
rascals, never
rashly, just
rashness, they
rasping, doors
rather, die
ration, from
rations, to
raucous, lords
raucously, he
ravage, no
ravaged, the
ravenous, bottomless
ravens, of
raves, and
ravines, of
raving, Quick
ravished, my
ravishing, voices
raw, and
rawhide, sandals
rays, invade
razor, spears
reach, a
reached, is
reaches, home
reaching, home
read, this
reading, signs
ready, waiting
readycut, You
real, prayer
really, was
realm, who
reap, a
rear, them
reared, the
rearing, head
reason, Well
reassurance, stirred
reassure, her
reassured, him
rebuke, All
recall, the
recalled, our
recalling, Odysseus
receive, an
received, him
receives, them
recess, the
recesses, long
reckless, carving
reckoning, up
reclining, there
recliningchair, Alcippe
recognized, the
recognizing, the
recoil, at
record, but
recount, the
recoup, myself
recover, our
recruit, the
recruits, from
red, Theres
redhaired, King
redhot, and
redolent, oil
reeds, and
reef, he
reefs, for
reek, of
reeking, bolt
reeled, away
reeling, under
reembarked, now
refined, and
refitting, his
refresh, my
refreshed, himself
refreshing, all
refreshment, All
refuge, in
refuse, will
refused, to
refusedhe, feared
regain, his
regained, his
regal, palace
regalia, handmaids
regard, for
regards, from
reign, for
reined, in
reinforced, her
reinforcements, from
reins, of
rejects, a
rejoice, in
rejoiced, in
rejoicing, even
rejoin, Odysseus
relax, your
release, your
released, me
relentless, heartbreaking
relic, whips
relief, of
relieving, her
relish, And
relished, under
relishfor, me
relit, his
remained, stockstill
remaining, here
remains, of
remark, of
remarks, were
remember, it
remembered, you
remembering, him
remembers, Odysseus
remind, the
reminded, me
remote, from
remove, the
removed, you
render, noble
rends, the
renewed, her
renown, I
renowned, Idomeneus
repaid, me
reparations, ever
repeat, a
replied, why
reply, The
replying, to
report, in
reports, us
repose, that
reproach, him
reproached, her
request, Ill
required, Antinous
requirednever, shed
rescue, grants
rescueand, people
rescued, him
resemblance, to
resents, it
reserve, to
reserved, Penelope
reserves, to
resided, in
resolve, Eurymachusthe
resolved, Telemachus
resort, to
resounded, now
resounding, roar
resounds, through
resourceful, King
respect, the
respectPhaeacians, too
respected, friend
respectjust, pay
resplendent, robe
responded, deep
rest, now
rested, their
resting, a
restingplace, and
restless, in
restnow, off
restored, the
restrain, the
rests, with
resumed, their
resuming, the
retainer, buried
retaining, wall
retching, in
retinue, threw
retired, to
retished, every
retrieve, the
return, and
returnCalypso, the
returnEven, at
returned, If
returnhome, at
returning, home
returns, to
returnthat, great
returntheres, still
reunion, that
reveal, that
revealed, such
revel, on
revelations, mark
reveled, in
reveler, here
revelers, looking
reveling, there
revels, song
revenge, let
revered, like
reverent, as
reversed, our
review, in
reviewed, his
revolt, you
reward, at
rhythm, churned
rhythmic, drumming
ribbed, ships
ribs, as
rich, estate
richer, here
riches, powerful
richest, yield
richly, wrought
richtheyd, butchered
rickety, stool
rid, of
riddance, Let
ride, our
ridge, to
ridged, with
ridges, thick
ridiculing, your
riding, out
rife, with
riffraff, courting
rig, and
rigged, up
right, in
righteous, man
righting, spirit
rightly, how
rights, not
rile, me
rims, of
ring, with
ringed, by
ringing, voice
ringleaders, of
rings, The
rinse, them
rinsed, them
rinsing, the
riot, rules
rip, their
ripe, old
ripeness, mellowed
ripped, clean
ripping, his
rippling, high
riptooth, reefs
rise, and
risen, up
rises, up
rising, raised
risings, heading
risk, their
rite, by
rites, of
ritual, lovely
rival, there
rivaled, immortal
rivalry, striving
riven, in
river, plain
rivering, tears
rivers, to
riveted, on
rnore, he
road, here
roads, of
roadstead, where
roam, and
roamed, the
roaming, years
roar, went
roared, with
roaring, fire
roast, meat
roasted, the
roasting, done
roasts, 
rob, our
robbed, me
robe, stiff
robes, and
robs, a
rock, face
rocked, by
rockledge, overhead
rocks, I
rocky, heights
rode, roughshod
rodhook, sheathed
rogue, sows
roiled, heaving
roll, in
rolled, down
roller, swept
rollers, crashing
rolling, whitecaps
rolls, back
roof, I
roofbeam, black
roofed, it
roofs, I
room, the
roomand, rubbed
rooms, the
roosted, folding
root, in
rooted, her
rooting, corn
roots, up
rope, then
ropes, to
roping, his
rose, up
rosered, fingers
rotting, away
rough, neglect
roughest, on
roughing, it
roughshod, over
round, his
rounded, on
roundhouse, lashed
rounding, Maleas
rounds, for
rouse, my
roused, his
rousing, me
rout, the
route, home
routed, suitors
routes, is
routing, us
routs, and
rove, through
roved, around
rover, had
rovers, stayed
roving, through
rovings, forced
rovingtheres, still
row, of
rowdily, men
rowed, her
rowing, for
rowingbenches, twisting
rows, he
royal, Odysseus
rub, it
rubbed, him
rubbing, it
ruck, of
rudders, bladed
ruddy, wine
ruffians, carousing
ruffling, up
rug, and
rugged, lances
rugs, and
ruin, the
ruina, fine
ruined, it
rule, in
ruled, and
rules, the
ruling, his
rumbled, in
rumbling, out
rummaging, after
rumor, of
rumorsrumors, from
run, now
runner, there
runners, alive
running, sweet
runningroom, for
runs, off
rush, the
rushed, beside
rushes, out
rushing, stream
russet, curls
rustles, forth
rustling, leaves
rut, with
ruthless, knife
rutting, on
sack, with
sacked, the
sacking, the
sacred, Troy
sacredZeus, will
sacrifice, fine
sacrificed, in
sacrifices, failed
sacrificing, to
saddled, now
sadness, sick
safe, as
safeguard, all
safekeeping, Or
safely, on
safety, through
sagging, under
said, in
sail, with
sailed, from
sailgripping, the
sailing, We
sailinspired, by
sailor, her
sailors, feel
sails, on
sailyard, far
sake, and
sale, but
sally, forth
salt, strangers
salty, waste
salutations, on
salute, you
salutes, and
saluting, each
salvation, treated
salvo, wide
salvos, of
same, god
sand, twitching
sandals, for
sandbanks, flanking
sanded, stool
sands, the
sandy, Pylos
sane, planwinning
sang, out
sangin, a
sank, home
sap, Hed
sapling, head
saplingclad, in
sardonic, grin
sashed, and
sashes, dresses
sat, and
sauntered, toward
sausage, back
sausages, sizzling
savage, cry
savages, somehow
save, their
saved, you
savor, of
savored, his
savoring, his
saw, them
say, a
saya, manmountain
sayand, dont
saying, Bring
says, so
scale, it
scaled, a
scampering, round
scandal, Fire
scandalized, when
scanned, his
scanning, the
scant, whatever
scar, first
scarcely, bear
scarecrow, to
scarf, to
scarred, by
scathing, look
scatter, to
scattered, them
scattering, down
scavenging, after
scent, and
scented, sweet
scepter, judging
sceptered, princes
scheme, 
schemed, our
schemer, he
schemes, So
scheming, you
scoff, 
scoffed, Telemachus
scold, me
scooped, out
score, And
scores, of
scornful, nor
scotfree, Staunch
scoundrel, senseless
scoundrelas, I
scoundrels, body
scour, all
scoured, away
scourge, mankind
scout, things
scouting, I
scrabbling, for
scrambling, aboard
scrap, But
scraped, and
scrapes, to
scraping, for
scraps, were
scrapshardpressed, by
scratch, Those
scrawny, pork
screamed, slid
screaming, out
screams, broke
scree, ashore
screeches, steam
scrimp, on
scrounge, a
scrounging, round
scrub, them
scrubbed, down
scruples, now
scud, on
scudded, past
scudding, home
scum, along
scurf, that
scurried, out
scurries, right
scuttled, back
scuttles, off
scuttling, up
scythe, and
sea, and
seabattling, home
seabeach, shelving
seablue, woola
seachest, now
seacloak, washed
seadogs, sharp
seafed, brutes
seagirt, Ithaca
seagray, eyes
seahawks, swept
seal, their
sealanes, home
sealed, her
sealing, firm
seals, our
sealskin, over
sealskins, all
sealssleek, pups
seamark, so
seamist, sacred
seams, on
seanymphs, she
seapurple, in
search, out
searched, for
searching, but
searing, fire
seas, or
seashe, met
season, The
seasoned, captain
seasons, weigh
seasurge, ripped
seat, that
seated, all
seating, him
seats, but
seaward, side
seawolves, raiding
second, thoughts
secret, told
secrets, hidden
secure, in
secured, the
securing, her
seduce, her
seduced, us
seductive, words
see, if
seed, Theres
seeds, of
seeing, how
seek, but
seeking, home
seeks, their
seem, wellspoken
seemed, a
seems, to
seen, dryeyed
seer, of
seers, Melampus
sees, the
seethe, and
seethed, on
seethes, inside
seething, No
seize, They
seized, his
selfcontrol, he
selfdefense, The
selfpossessed, Penelope
sell, him
send, a
sending, off
sendoff, rests
sendoffshining, gifts
sends, you
sense, resided
sensed, Odysseus
senseless, folly
senses, quicken
sensible, as
sent, Telemachus
sentence, bound
separate, waysAthena
sere, wellseasoned
serpent, a
servant, my
servants, and
serve, our
served, them
service, Some
serving, out
servingman, at
servingmen, who
servingwoman, bathed
servingwomen, to
servingwomens, midst
servingwomenwooed, my
session, stop
sessions, There
set, out
sets, foot
setting, sail
settled, who
settling, onto
seven, bars
sevengated, Thebes
seventeen, days
seventh, day
several, waitingwomen
severed, long
shabby, rags
shackle, you
shackles, once
shade, of
shades, of
shadow, waving
shadowed, hall
shadows, Its
shadowy, clouds
shady, grovethe
shaft, impale
shafts, but
shaggy, wellfed
shakes, the
shaking, his
shall, reign
shambles, Listen
shambling, longhorn
shame, my
shamed, us
shameful, rags
shameless, work
shamelessly, Dolius
shamelessthe, way
shank, of
shape, than
shaped, it
shapes, you
shaping, plans
share, it
shared, a
shares, to
sharing, out
sharks, straight
sharp, sword
sharper, than
sharpest, jutting
sharpeyed, Huntress
sharphoofed, mules
sharply, why
shatter, of
shattered, her
shattering, din
shaved, the
she, commanded
sheared, off
shearing, the
shearwater, once
sheath, 
sheathe, your
sheathed, in
sheathing, loops
sheaths, for
shed, done
shedding, tears
sheds, where
sheen, of
sheep, and
sheepflocks, butchered
sheepgut, fast
sheeps, fleece
sheepskin, and
sheer, Rocks
sheet, myself
sheets, on
shell, marry
shelter, Its
sheltered, spot
shelters, door
shelving, toward
shepherd, boy
shes, convinced
shied, away
shield, is
shielding, him
shields, as
shift, it
shifted, into
shifting, trilling
shiftless, dead
shifty, oaths
shimmering, tunic
shine, down
shines, forth
shingle, ebbs
shining, in
shins, he
ship, lies
shipboard, day
shipman, Dymas
shipmate, yes
shipmates, too
shipped, me
ships, and
shipshape, and
shipshe, lost
shipwreck, True
shipwrecked, sailors
shipwright, bores
shipwrights, drill
shirk, their
shirked, a
shirks, his
shirt, and
shirts, as
shock, of
shocked, by
shocks, me
shod, in
shone, upon
shook, the
shoot, from
shooting, up
shoots, an
shore, the
shoreline, pulled
shores, and
shoresrace, our
short, of
shot, his
shotWould, to
shots, all
should, be
shoulder, a
shouldering, breaker
shoulders, drew
shouldersits, a
shout, can
shouted, back
shouting, out
shouts, the
show, your
showdogs, masters
showdown, so
showed, you
shower, her
showered, on
showering, him
showers, him
showing, someone
shown, me
shrank, as
shred, of
shrewd, Penelope
shrewder, course
shrewdly, now
shrieking, out
shrilled, a
shrilling, flittering
shrills, but
shrilly, tears
shrine, in
shrink, from
shrivel, the
shriveled, the
shriveling, on
shroud, and
shrouded, in
shrouding, over
shrouds, your
shudder, straining
shuddered, a
shuddering, dark
shuffling, over
shun, this
shunning, food
shut, the
shuttle, weaving
shuttling, back
shy, to
shyness, this
sick, Get
sickbed, racked
sickening, beggar
sickness, either
side, like
sidebyside, and
sidedoor, still
sideeach, sort
sidehundreds, not
sides, for
sidestep, nothing
sidetoside, Here
siding, with
sidled, near
siege, to
sifting, away
sighs, and
sight, of
sign, some
signal, When
signaled, the
signaling, crews
signals, to
signs, Odysseus
silence, 
silenced, the
silent, eyes
silky, soft
sill, confronting
silver, etched
silvera, man
silverstudded, throne
simple, for
simply, planned
since, he
sing, of
singI, had
singed, the
singeing, pigs
singer, now
singers, skill
singing, after
single, handmaid
singlehanded, braving
sings, for
singsenthralling, The
sink, me
sinking, rippling
sip, or
sir, the
sire, sons
sired, Prince
sister, of
sit, beside
site, where
sits, at
sitting, here
six, sons
sixth, young
sixty, head
sizzled, round
sizzling, sausage
skew, and
skewered, these
skewers, broiled
skies, rain
skill, old
skillI, shaped
skilled, in
skillfully, binding
skills, That
skim, across
skimmed, the
skimmers, who
skimming, the
skin, Ctesippus
skinned, it
skinning, goats
skins, of
skipper, of
skirting, Psyrie
skittered, off
skulked, alive
skull, with
skullcap, to
skulls, cracked
sky, with
skyhigh, seasoned
skylook, there
skyscraping, cliff
slab, and
slabs, planted
slack, his
slaked, the
slammed, the
slamming, the
slander, fans
slant, a
slanting, down
slapped, his
slash, out
slashed, its
slashing, away
slaughter, of
slaughtered, around
slaughtering, herds
slave, are
slaved, did
slavery, then
slaves, Myself
slaveship, Pack
sleek, hounds
sleeked, down
sleekhaired, Leto
sleep, in
sleepless, nights
sleeps, in
slept, With
slice, his
sliced, the
slicing, meat
slid, down
slide, because
slides, With
sliding, the
slight, now
slighting, you
slim, oars
sling, they
slinking, around
slip, through
slipped, from
slipping, the
slips, and
slipway, cleared
slit, and
slogging, just
slope, go
slopes, above
sloping, shore
sloth, your
slow, voyage
slowly, keen
slumber, over
slumped, stuck
slumping, to
slung, a
slunk, back
slutsthe, suitors
sly, The
small, task
smaller, birds
smartly, First
smash, him
smashed, the
smashing, the
smear, on
smeared, with
smell, the
smelly, hide
smile, and
smiled, glancing
smiling, warmly
smith, and
smoke, But
smokeducts, high
smoking, shaft
smoky, savor
smooth, the
smoothed, their
smoothing, out
smoothingadze, I
smoothly, talked
snack, and
snapped, to
snapping, off
snare, rigged
snarling, dogs
snatch, it
snatched, him
snatches, up
snatching, up
sneeredone, scum
sneeze, So
snide, glances
sniveling, here
snoutseven, their
snow, melting
snows, assail
snowy, peaks
snuff, his
snuffed, it
snuffling, out
snug, back
snuggling, into
snugly, wedged
so, intently
soaked, in
soaking, dew
soared, at
soaring, eagle
sobbed, to
sobbing, in
sober, Telemachus
sobs, and
sodden, gusty
soft, bed
soften, a
softly, the
softpiled, rugs
soil, and
soiled, And
solace, even
sold, me
soldier, Odysseus
soldiered, on
soldiers, temples
solemn, honors
solid, silver
some, held
someday, now
somehow, escaped
someone, chopped
someonetry, Here
something, slight
somethingliving, proof
somewhere, in
son, of
sonAgelaus, flanked
soncondemned, to
song, men
songs, Wait
soninlaw, Autolycus
sonmyself, the
sonor, speak
sons, and
sonsOdysseus, out
sonsinlaw, back
sonthanks, to
sonwhat, brings
sonwhen, he
soon, enoughas
sooner, had
soot, since
soothing, oils
sopping, sponges
sore, at
sorely, when
sorrow, wrung
sorrows, wring
sorry, beggar
sort, entitled
sosay, Odysseus
soto, bring
sought, out
soul, of
sound, the
sounded, out
soundest, oblivion
sounding, off
soundly, and
sounds, the
sour, reek
south, through
sovereign, sway
sovereigns, halls
sowhy, dont
sowing, seeds
sows, punished
spacious, dancingrings
spades, as
spading, round
spare, him
spared, a
spares, you
spark, alive
sparkling, eyes
sparklingeyed, Athena
spasms, Odysseus
spawned, her
spawns, in
speak, out
speaker, too
speakers, scepter
speaking, The
speaks, well
spear, a
spearbutts, into
speared, Leocritus
spearman, told
spearmen, so
spearno, way
spearpoint, glinting
spears, and
spearsall, at
spearshaft, lodged
special, friend
sped, like
speech, Now
speechless, there
speed, him
speeding, death
speedy, dogs
spell, that
spellbind, me
spellbinding, me
spellbound, how
spells, Now
spend, all
spent, to
spewed, it
spewing, bitter
spider, webs
spied, was
spike, from
spill, his
spilled, and
spilling, water
spin, out
spindle, seablue
spine, and
spineless, craven
spinning, yarn
spirit, brought
spiritI, know
spiritnumbing, exhaustion
spirits, And
spite, on
spits, and
spitted, them
splash, chesthigh
splashed, and
splatter, your
splattered, with
splendid, prizes
splendor, over
splinters, Or
splintersthe, gods
split, his
splitting, kindling
spoil, at
spoils, But
spoke, distraught
spoken, to
sponge, them
sponges, rinsed
sport, so
sported, so
sporting, his
sports, Ive
sportsfor, all
spot, that
spotless, linen
spotno, escape
spotted, the
sprang, and
sprawled, in
spray, an
spread, it
spreadbeaked, ravens
spreading, out
spreads, all
spree, or
spring, when
springborn, here
springing, up
springs, dark
sprinkle, glistening
sprinkled, water
sprinkling, barley
sprinting, I
sprouted, covering
sprung, from
spun, in
spur, the
spurn, my
spurned, nor
spurns, meyour
spurred, her
spurring, him
spurs, and
spurt, around
spurting, out
spy, ran
spying, us
squabbling, over
squadron, foundered
squalid, you
squall, struck
squalls, snatched
squander, his
squandered, how
square, across
squared, off
squatted, to
squealing, for
squired, your
squirming, out
stab, his
stabbed, Ctesippus
stabbing, clean
stablemen, and
stacked, at
staff, and
stag, their
stage, for
stages, of
stagger, home
staggers, imagination
staid, housekeeper
stainsthey, loosed
stair, from
stairs, to
stake, my
staked, out
stakes, in
staking, all
stalked, by
stalking, quarry
stalks, the
stalled, to
stallion, land
stallioncountryhe, lay
stallionland, who
stallions, and
stallionshis, destined
stalls, pitch
stalwart, Megapenthes
stamina, never
stamped, out
stampeding, the
stanched, the
stand, planted
standa, glorious
standing, beside
stands, guard
standstill, even
star, it
starboard, dreaded
stare, at
stared, across
staring, struck
stark, crag
starred, with
starry, sky
stars, you
start, to
started, down
starting, from
startled, glances
starve, to
starved, for
starving, for
state, without
stated, flatly
stately, house
station, handed
stationed, either
stature, first
staunch, sons
staunchly, Odysseus
stave, off
stay, my
stayed, with
stays, and
steadfast, crew
steady, Odysseus
steadying, him
steal, upon
stealing, out
stealth, or
stealthy, trap
steam, and
steaming, bath
steel, his
steeled, by
steep, stairs
steeply, look
steer, clear
steered, right
steering, ships
steeringoar, of
steeringoars, that
steersmen, here
stem, to
stemmed, his
stems, from
stench, So
step, up
stepped, from
stepping, from
steps, Mark
stern, Telemachus
sterncables, But
steward, pours
stewards, rose
stick, his
sties, for
stiff, that
still, kept
stinging, taunts
stint, this
stir, the
stirred, and
stirring, winged
stirs, for
stitch, was
stitched, tight
stock, said
stockade, crammed
stockstill, they
stole, Atrides
stolen, Lurching
stone, threshold
stoneground, best
stonerimmed, fountain
stones, for
stonework, roofed
stood, and
stool, His
stools, were
stoop, of
stooped, with
stoops, to
stop, to
stopOdysseus, son
stopped, all
stopping, at
store, boundless
stored, took
storeroom, shot
storeroomlash, his
storerooms, deep
storeroomthere, nowhere
stores, in
storied, halls
stories, the
storm, and
stormclouds, loosed
stormed, and
storming, Zeus
storms, and
stormtossed, man
stormwinds, gust
stormy, West
story, Listen
storythat, Id
storythe, whole
stow, my
stowed, them
straddled, it
straggled, behind
straight, at
straightaway, she
straightway, ordering
strain, to
straining, to
strains, outside
straits, between
strange, unearthly
stranger, they
strangers, craft
strangersoft, in
strangling, in
strap, a
strapped, themselves
strapping, wellbuilt
straps, across
strategic, stroke
strategy, Zeus
stray, shes
strayed, from
streaked, both
stream, as
streambeds, through
streamed, down
streaming, tears
streams, they
street, or
streets, of
streetsI, must
strength, in
strengths, not
stretch, him
stretched, a
stretches, flat
strewed, the
strewingbarley, was
strewn, in
stricken, the
strict, commands
stridden, down
strides, brooding
striding, home
strike, terror
strikes, in
striking, resemblance
string, that
stringing, of
strings, the
strip, the
stripped, from
strippedto, dodge
stripping, back
strips, for
strive, to
striving, to
strode, out
stroke, but
stroked, him
strokes, throwing
stroking, hard
strolled, back
strong, clear
stronger, shining
strongest, of
stronghold, There
strongly, Zeus
struck, dumb
struckthe, ax
struggle, 
struggled, to
struggles, laid
struggling, out
strung, his
strutting, suitors
stubborn, never
stuck, his
studded, shields
studied, in
studs, the
stuff, your
stuffed, his
stumble, blindly
stumbled, onto
stump, bare
stung, that
stunned, with
stunning, looks
stuns, me
sturdy, fortress
sty, you
style, stores
suave, seductive
subject, yourself
submission, the
subsoils, dark
subtle, shifty
subtlety, returned
success, if
succulent, richtheyd
such, wealth
suckers, of
suckled, me
suckling, mules
sucklings, then
sudden, twinge
suddenly, let
suffer, Look
suffered, But
sufferedBut, I
sufferedrove, your
suffering, no
sufferit, made
suffers, torments
suit, of
suitboth, harnessed
suitor, just
suitors, through
suitorsI, was
suitorsall, of
suitorsbest, in
suits, him
sulfur, nurse
sum, believe
summer, or
summers, heat
summon, up
summoned, royal
summoning, up
summons, you
sumptuous, feast
sun, the
sung, by
sunk, at
sunlight, or
sunlit, breakers
sunny, Ithaca
sunrise, You
suns, sharp
sunsetno, hour
sunup, here
sup, well
superhuman, power
supped, and
supper, in
supping, with
supple, young
suppliant, like
suppliants, at
suppliantsat, your
suppliantssuppliants, rights
supplication, since
supplies, aboard
suppling, olive
supply, till
support, me
suppose, our
sure, This
surely, Cowherd
surf, to
surfI, see
surface, no
surfs, edge
surge, around
surged, unwavering
surging, close
surpass, all
surrender, recognizing
surrendered, recognizing
surveyed, an
survived, as
survivors, all
suspected, as
suspectedback, to
suspecting, nothing
suspicious, heart
swagger, the
swaggering, young
swallow, in
swallowed, down
swallows, cry
swam, away
swamping, fill
swarmed, in
swarming, sea
swarms, of
swarthy, curlyhaired
swath, I
swathed, her
sway, the
swaying, branches
sways, you
swear, did
swears, hes
sweat, my
sweated, over
sweating, team
sweep, out
sweeping, hook
sweet, and
sweeter, sight
sweetest, soundest
sweetwood, burning
swell, whips
swelled, by
swelling, sleek
swells, the
